step,fm_loss
1,2.0119433403015137
500,1.0676212310791016
1000,1.0772265195846558
1500,1.0675675868988037
2000,1.0575109720230103
2500,1.0289669036865234
3000,1.028761386871338
3500,1.003063678741455
4000,0.985154390335083
4500,1.0724382400512695
5000,0.9905145168304443
5500,0.9813094139099121
6000,0.9930074214935303
6500,0.977805495262146
7000,0.9514373540878296
7500,0.9991688132286072
8000,0.9536285996437073
8500,0.9696754217147827
9000,1.0038684606552124
9500,0.9722672700881958
10000,1.0291049480438232
10500,1.0172982215881348
11000,1.0262079238891602
11500,0.9110356569290161
12000,0.9382157325744629
12500,1.0323840379714966
13000,1.0262688398361206
13500,0.988709568977356
14000,0.9972373247146606
14500,1.027734637260437
15000,0.9849715232849121
15500,0.9893107414245605
16000,1.0130364894866943
16500,1.0374655723571777
17000,1.0193060636520386
17500,1.0203742980957031
18000,1.0071765184402466
18500,1.0269615650177002
19000,0.9946537017822266
19500,1.042297601699829
20000,0.9452196359634399
20500,0.9788142442703247
21000,0.9758833646774292
21500,0.9420615434646606
22000,0.9030781984329224
22500,0.9554444551467896
23000,0.9611049294471741
23500,0.9551733732223511
24000,0.9997798204421997
24500,0.9573580026626587
25000,0.9418321847915649
