step,recon_loss
1,0.043603941798210144
500,1.8875435898735304e-06
1000,7.739255352134933e-07
1500,4.513373710324231e-07
2000,3.245291395614913e-07
2500,2.5741789499988954e-07
3000,1.8734104401119112e-07
3500,4.780384870173293e-07
4000,4.531490048975684e-06
4500,7.739902230241569e-07
5000,8.805669438061159e-08
5500,6.69455175739131e-08
6000,6.587283678527456e-07
6500,1.2727143712254474e-06
7000,7.309419913781312e-08
7500,5.634957389588635e-08
8000,4.0810050450090785e-07
8500,1.342908717560931e-07
9000,1.2486717423598748e-05
9500,4.143047505067443e-08
10000,5.841011443408206e-07
10500,1.5172830103438173e-07
11000,4.6802608011375924e-08
11500,1.1247492182064889e-07
12000,5.300023531162878e-07
12500,2.2939164523450017e-07
13000,1.1569818525458686e-07
13500,1.3978788615531812e-07
14000,3.319091774756089e-07
14500,6.010872652950638e-07
15000,1.2943239653395722e-06
15500,1.9801053952051006e-07
16000,5.319741376297316e-07
16500,7.384604714388843e-07
17000,5.745455666783528e-08
17500,1.3421026778814849e-06
18000,3.924442069092038e-07
18500,3.964843244830263e-07
19000,2.8511664140751236e-07
19500,1.4167948165777489e-06
20000,1.781010894319479e-07
