step,fm_loss
1,1.047086238861084
500,0.11574786901473999
1000,0.09634804725646973
1500,0.09850843250751495
2000,0.0869111642241478
2500,0.0933847725391388
3000,0.09177832305431366
3500,0.08876699209213257
4000,0.08762018382549286
4500,0.08476364612579346
5000,0.08701863139867783
5500,0.0887829139828682
6000,0.08164296299219131
6500,0.08158941566944122
7000,0.07734747231006622
7500,0.07949833571910858
8000,0.08154621720314026
8500,0.07985750585794449
9000,0.0813225507736206
9500,0.08026005327701569
10000,0.07311064749956131
10500,0.0736718699336052
11000,0.08279333263635635
11500,0.07447894662618637
12000,0.0781213641166687
12500,0.07419657707214355
13000,0.07282823324203491
13500,0.07096002995967865
14000,0.07258028537034988
14500,0.07438857853412628
15000,0.07540862262248993
15500,0.07008768618106842
16000,0.06874166429042816
16500,0.07443461567163467
17000,0.07428508251905441
17500,0.07217207551002502
18000,0.07621900737285614
18500,0.07211825251579285
19000,0.07003519684076309
19500,0.06982067972421646
20000,0.07467856258153915
20500,0.0677996501326561
21000,0.06773523986339569
21500,0.07335610687732697
22000,0.06474338471889496
22500,0.07532503455877304
23000,0.07281898707151413
23500,0.06916207075119019
24000,0.06746082007884979
24500,0.06715363264083862
25000,0.07437711954116821
25500,0.07278874516487122
26000,0.06958727538585663
26500,0.06750510632991791
27000,0.07616858929395676
27500,0.06775935739278793
28000,0.06927332282066345
28500,0.0688181072473526
29000,0.06941606104373932
29500,0.0670350044965744
30000,0.06862131506204605
30500,0.06663285940885544
31000,0.0674065575003624
31500,0.06952568888664246
32000,0.0656762421131134
32500,0.07093024253845215
33000,0.06827538460493088
33500,0.06817026436328888
34000,0.06785789132118225
34500,0.06678638607263565
35000,0.06859508901834488
35500,0.06786134839057922
36000,0.06734064221382141
36500,0.06464551389217377
37000,0.06944705545902252
37500,0.06494831293821335
38000,0.07218094170093536
38500,0.06665706634521484
39000,0.06970544159412384
39500,0.06991860270500183
40000,0.06574716418981552
40500,0.07272875308990479
41000,0.06758557260036469
41500,0.07044285535812378
42000,0.06785320490598679
42500,0.06935068219900131
43000,0.06870518624782562
43500,0.06962893903255463
44000,0.0656421110033989
44500,0.0720134899020195
45000,0.06710559874773026
45500,0.07051421701908112
46000,0.06629086285829544
46500,0.064649298787117
47000,0.06689513474702835
47500,0.06397400796413422
48000,0.06649857014417648
48500,0.06806427985429764
49000,0.06615114957094193
49500,0.06402136385440826
50000,0.07049451768398285
