dataset,dim,pred_type,loss_type,final_loss,raw_path,loss_path
swiss_roll,32,x,v,0.371952623128891,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/swiss_roll_D32_xpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/swiss_roll_D32_xpred_vloss_loss.csv
swiss_roll,32,v,x,0.01783009245991707,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/swiss_roll_D32_vpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/swiss_roll_D32_vpred_xloss_loss.csv
swiss_roll,32,v,v,0.07482989877462387,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/swiss_roll_D32_vpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/swiss_roll_D32_vpred_vloss_loss.csv
gaussians,32,x,x,0.01757313869893551,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/gaussians_D32_xpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/gaussians_D32_xpred_xloss_loss.csv
gaussians,32,x,v,0.20209956169128418,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/gaussians_D32_xpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/gaussians_D32_xpred_vloss_loss.csv
gaussians,32,v,x,0.020185016095638275,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/gaussians_D32_vpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/gaussians_D32_vpred_xloss_loss.csv
gaussians,32,v,v,0.07575744390487671,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/gaussians_D32_vpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/gaussians_D32_vpred_vloss_loss.csv
circles,32,x,x,0.01204359345138073,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/circles_D32_xpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/circles_D32_xpred_xloss_loss.csv
circles,32,x,v,0.34039306640625,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/circles_D32_xpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/circles_D32_xpred_vloss_loss.csv
circles,32,v,x,0.013359036296606064,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/circles_D32_vpred_xloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/circles_D32_vpred_xloss_loss.csv
circles,32,v,v,0.06847316771745682,/workspace/COMP4680-8650-Flowmatching/src/part4_results/raw/circles_D32_vpred_vloss.npz,/workspace/COMP4680-8650-Flowmatching/src/part4_results/losses/circles_D32_vpred_vloss_loss.csv
