step,loss
1,0.02112707868218422
500,0.012412628158926964
1000,0.012038182467222214
1500,0.012064389884471893
2000,0.011943014338612556
2500,0.012170381844043732
3000,0.012577145360410213
3500,0.012004882097244263
4000,0.012385712936520576
4500,0.012362808920443058
5000,0.01258554682135582
5500,0.011926766484975815
6000,0.01248929649591446
6500,0.012223687022924423
7000,0.012730468064546585
7500,0.012525627389550209
8000,0.012351315468549728
8500,0.01191575825214386
9000,0.012207966297864914
9500,0.012208368629217148
10000,0.012304744683206081
10500,0.012407494708895683
11000,0.01223115436732769
11500,0.012109924107789993
12000,0.012255199253559113
12500,0.012216102331876755
13000,0.012559523805975914
13500,0.011772805824875832
14000,0.011956945061683655
14500,0.012090057134628296
15000,0.0121063943952322
15500,0.012233711779117584
16000,0.012251002714037895
16500,0.011386885307729244
17000,0.012082530185580254
17500,0.012682756409049034
18000,0.012025593779981136
18500,0.012289776466786861
19000,0.011497369967401028
19500,0.011980634182691574
20000,0.011828470043838024
20500,0.011965032666921616
21000,0.011944318190217018
21500,0.01172780804336071
22000,0.01200861856341362
22500,0.012786566279828548
23000,0.011981484480202198
23500,0.011594243347644806
24000,0.011712650768458843
24500,0.011673416942358017
25000,0.011946097947657108
