step,loss
1,0.03343285247683525
500,0.018239403143525124
1000,0.018806390464305878
1500,0.01720333844423294
2000,0.018363993614912033
2500,0.01740703545510769
3000,0.017791152000427246
3500,0.01806820183992386
4000,0.017318733036518097
4500,0.01768815703690052
5000,0.01721566915512085
5500,0.017148751765489578
6000,0.016771400347352028
6500,0.017736000940203667
7000,0.01707376539707184
7500,0.017080923542380333
8000,0.017158692702651024
8500,0.017330938950181007
9000,0.01792095974087715
9500,0.017697568982839584
10000,0.01734359934926033
10500,0.017580751329660416
11000,0.018417295068502426
11500,0.017482785508036613
12000,0.01748069003224373
12500,0.01774355210363865
13000,0.017249327152967453
13500,0.017231127247214317
14000,0.017032887786626816
14500,0.016654109582304955
15000,0.01778019778430462
15500,0.018026819452643394
16000,0.017372462898492813
16500,0.017533335834741592
17000,0.017681337893009186
17500,0.018442364409565926
18000,0.018200363963842392
18500,0.018243830651044846
19000,0.0170148815959692
19500,0.017595337703824043
20000,0.017170270904898643
20500,0.01641838438808918
21000,0.018192259594798088
21500,0.017253417521715164
22000,0.018370749428868294
22500,0.01727176271378994
23000,0.01783333159983158
23500,0.01719801500439644
24000,0.016678979620337486
24500,0.017136795446276665
25000,0.016821354627609253
