step,loss
1,1.018219232559204
500,0.1570722609758377
1000,0.1410140097141266
1500,0.12458167970180511
2000,0.12753140926361084
2500,0.11026527732610703
3000,0.11125683039426804
3500,0.11603967845439911
4000,0.10814189910888672
4500,0.11102902889251709
5000,0.11149463057518005
5500,0.10655856132507324
6000,0.11672906577587128
6500,0.11177514493465424
7000,0.10501210391521454
7500,0.10878299176692963
8000,0.10526609420776367
8500,0.10410158336162567
9000,0.10545067489147186
9500,0.10518042743206024
10000,0.11326771974563599
10500,0.0977029874920845
11000,0.11173282563686371
11500,0.09869161248207092
12000,0.10330267250537872
12500,0.09978725016117096
13000,0.09939008951187134
13500,0.10571308434009552
14000,0.10131759196519852
14500,0.0970650166273117
15000,0.10486291348934174
15500,0.10010256618261337
16000,0.09739124774932861
16500,0.10506722331047058
17000,0.10349825024604797
17500,0.10084167122840881
18000,0.1036515086889267
18500,0.09977315366268158
19000,0.10580597072839737
19500,0.10425211489200592
20000,0.09596280753612518
20500,0.10534319281578064
21000,0.1022966280579567
21500,0.09401925653219223
22000,0.10298798233270645
22500,0.10326975584030151
23000,0.09854855388402939
23500,0.11349134147167206
24000,0.10733392834663391
24500,0.11152750998735428
25000,0.10537385940551758
