step,loss
1,0.03227376565337181
500,0.01720425672829151
1000,0.01585075631737709
1500,0.0155097097158432
2000,0.016325652599334717
2500,0.01640222780406475
3000,0.017103733494877815
3500,0.016591006889939308
4000,0.015853295102715492
4500,0.015852365642786026
5000,0.016792017966508865
5500,0.0172208771109581
6000,0.017498206347227097
6500,0.015929769724607468
7000,0.017136285081505775
7500,0.01719496212899685
8000,0.016157854348421097
8500,0.01635970175266266
9000,0.01636071316897869
9500,0.01631687954068184
10000,0.015307756140828133
10500,0.01755204051733017
11000,0.01670471578836441
11500,0.01678638346493244
12000,0.01634368672966957
12500,0.01667761616408825
13000,0.016262132674455643
13500,0.01672600954771042
14000,0.016314582899212837
14500,0.01588336192071438
15000,0.01618961989879608
15500,0.017238151282072067
16000,0.017340054735541344
16500,0.01585957407951355
17000,0.016654308885335922
17500,0.016725588589906693
18000,0.017673702910542488
18500,0.016090545803308487
19000,0.01616017520427704
19500,0.017246078699827194
20000,0.015673231333494186
20500,0.01656191051006317
21000,0.015909545123577118
21500,0.01619204320013523
22000,0.015375564806163311
22500,0.015729226171970367
23000,0.016900351271033287
23500,0.015296775847673416
24000,0.016169151291251183
24500,0.015948090702295303
25000,0.0166819766163826
