step,loss
1,755.5288696289062
500,5.080410480499268
1000,2.193220615386963
1500,7.664666652679443
2000,2.191725730895996
2500,9.47062873840332
3000,12.4572114944458
3500,3.5024070739746094
4000,4.7971343994140625
4500,3.386857271194458
5000,1.2401506900787354
5500,3.489443063735962
6000,2.1184980869293213
6500,1.9612175226211548
7000,2.699723243713379
7500,7.897102355957031
8000,6.567380905151367
8500,3.782728433609009
9000,3.1489269733428955
9500,1.8204338550567627
10000,4.26313591003418
10500,2.950075387954712
11000,8.901321411132812
11500,26.2615909576416
12000,1.323459506034851
12500,5.955294609069824
13000,2.7147116661071777
13500,4.923580169677734
14000,6.4473557472229
14500,2.499521017074585
15000,1.130435585975647
15500,5.244081020355225
16000,2.307745933532715
16500,1.3953378200531006
17000,1.9588725566864014
17500,2.730942726135254
18000,1.7132600545883179
18500,7.940247058868408
19000,3.0921802520751953
19500,8.325974464416504
20000,1.2387582063674927
20500,7.185035705566406
21000,1.3834185600280762
21500,2.236248731613159
22000,4.278863430023193
22500,3.1906096935272217
23000,9.672359466552734
23500,4.498452186584473
24000,1.3055427074432373
24500,1.0181081295013428
25000,8.257989883422852
