step,loss
1,0.36768224835395813
500,0.0518621951341629
1000,0.053932227194309235
1500,0.04917246848344803
2000,0.04956524074077606
2500,0.049221932888031006
3000,0.050194598734378815
3500,0.05048970878124237
4000,0.04876384884119034
4500,0.05185987427830696
5000,0.052078474313020706
5500,0.04855649918317795
6000,0.051618099212646484
6500,0.050584837794303894
7000,0.04771721363067627
7500,0.05158871412277222
8000,0.04928766191005707
8500,0.04922986775636673
9000,0.04863448813557625
9500,0.050172109156847
10000,0.050671909004449844
10500,0.05074727162718773
11000,0.04941718652844429
11500,0.048575762659311295
12000,0.050501614809036255
12500,0.050010599195957184
13000,0.045147910714149475
13500,0.05011461675167084
14000,0.05062926188111305
14500,0.05161403864622116
15000,0.046458207070827484
15500,0.04659855365753174
16000,0.05161985754966736
16500,0.04852170869708061
17000,0.047592781484127045
17500,0.05012338235974312
18000,0.04552745074033737
18500,0.051473889499902725
19000,0.04672488570213318
19500,0.050795070827007294
20000,0.048696234822273254
20500,0.0468779131770134
21000,0.049681659787893295
21500,0.05089476332068443
22000,0.05192019045352936
22500,0.04929221048951149
23000,0.04746469855308533
23500,0.051020555198192596
24000,0.04947320744395256
24500,0.04980422928929329
25000,0.04987015202641487
