step,loss
1,0.12080156803131104
500,0.0635693222284317
1000,0.0650915801525116
1500,0.07024045288562775
2000,0.06704355776309967
2500,0.06625527143478394
3000,0.06652133166790009
3500,0.06471726298332214
4000,0.06577205657958984
4500,0.06923709064722061
5000,0.06675051897764206
5500,0.06687959283590317
6000,0.06950356811285019
6500,0.06610432267189026
7000,0.06671275198459625
7500,0.06648857146501541
8000,0.0647159069776535
8500,0.06616868823766708
9000,0.06688292324542999
9500,0.06633462756872177
10000,0.06491237133741379
10500,0.06504406034946442
11000,0.06665321439504623
11500,0.0657673105597496
12000,0.06458155810832977
12500,0.06572563946247101
13000,0.06560520827770233
13500,0.06867358088493347
14000,0.06680545955896378
14500,0.0648205578327179
15000,0.06782570481300354
15500,0.06394711136817932
16000,0.06599166989326477
16500,0.06733159720897675
17000,0.06890346854925156
17500,0.0665818601846695
18000,0.06648734211921692
18500,0.06734120845794678
19000,0.06384074687957764
19500,0.06976573169231415
20000,0.06770216673612595
20500,0.06643940508365631
21000,0.06831854581832886
21500,0.0675600990653038
22000,0.06686240434646606
22500,0.06346607208251953
23000,0.06852389872074127
23500,0.06660175323486328
24000,0.06829164922237396
24500,0.06703405827283859
25000,0.06653168797492981
