step,loss
1,0.5041413307189941
500,0.27742862701416016
1000,0.2670484781265259
1500,0.2866656184196472
2000,0.2617909610271454
2500,0.2803591191768646
3000,0.28865793347358704
3500,0.28764551877975464
4000,0.2827214002609253
4500,0.2880246043205261
5000,0.2797677516937256
5500,0.2717134356498718
6000,0.27287814021110535
6500,0.2896495759487152
7000,0.26471272110939026
7500,0.28368252515792847
8000,0.2658475637435913
8500,0.2799816131591797
9000,0.2911997139453888
9500,0.2807472348213196
10000,0.2741149663925171
10500,0.2760447859764099
11000,0.266810804605484
11500,0.28460437059402466
12000,0.30071449279785156
12500,0.2789923846721649
13000,0.2716483473777771
13500,0.27906060218811035
14000,0.2741106152534485
14500,0.2851668894290924
15000,0.2768232822418213
15500,0.28588446974754333
16000,0.276358425617218
16500,0.2884391248226166
17000,0.2846471667289734
17500,0.28675973415374756
18000,0.29113996028900146
18500,0.27837425470352173
19000,0.2838926315307617
19500,0.2903306782245636
20000,0.2831718921661377
20500,0.2952626347541809
21000,0.28774693608283997
21500,0.26639294624328613
22000,0.2864920496940613
22500,0.2689021825790405
23000,0.27557581663131714
23500,0.28335437178611755
24000,0.2683520019054413
24500,0.2754738926887512
25000,0.2824627161026001
