step,loss
1,1.031960368156433
500,0.1524270623922348
1000,0.1381104290485382
1500,0.1292995810508728
2000,0.12362569570541382
2500,0.11378529667854309
3000,0.11189627647399902
3500,0.11145193874835968
4000,0.1120721623301506
4500,0.1072373241186142
5000,0.10009074211120605
5500,0.09539499133825302
6000,0.09799110144376755
6500,0.09513422846794128
7000,0.08872047066688538
7500,0.0927877128124237
8000,0.08644340932369232
8500,0.09221644699573517
9000,0.08057034015655518
9500,0.0818304494023323
10000,0.08418764919042587
10500,0.08206839859485626
11000,0.08452168107032776
11500,0.08592309802770615
12000,0.07641418278217316
12500,0.07737429440021515
13000,0.07982376217842102
13500,0.07211582362651825
14000,0.07858593761920929
14500,0.0753939226269722
15000,0.08131980150938034
15500,0.07465473562479019
16000,0.07400963455438614
16500,0.07356037199497223
17000,0.07141202688217163
17500,0.07141834497451782
18000,0.07546687871217728
18500,0.0761544480919838
19000,0.07252450287342072
19500,0.08156898617744446
20000,0.06920227408409119
20500,0.07060883939266205
21000,0.07226669043302536
21500,0.07264132797718048
22000,0.07399165630340576
22500,0.07690170407295227
23000,0.0704910159111023
23500,0.07519830763339996
24000,0.07526891678571701
24500,0.07731544971466064
25000,0.07575744390487671
