step,loss
1,0.3917374014854431
500,0.07846487313508987
1000,0.07647109031677246
1500,0.07519388943910599
2000,0.07338573038578033
2500,0.07160013169050217
3000,0.07084634900093079
3500,0.0687553808093071
4000,0.06850071251392365
4500,0.07410657405853271
5000,0.06610126048326492
5500,0.0689912959933281
6000,0.07387437671422958
6500,0.07145482301712036
7000,0.07221715152263641
7500,0.07379058003425598
8000,0.07252496480941772
8500,0.07286593317985535
9000,0.07383541762828827
9500,0.07121012359857559
10000,0.06976421177387238
10500,0.07238081842660904
11000,0.0707051008939743
11500,0.06985744833946228
12000,0.06982842087745667
12500,0.07131820917129517
13000,0.07245595753192902
13500,0.07471387088298798
14000,0.0729885995388031
14500,0.06833731383085251
15000,0.06863336265087128
15500,0.06568272411823273
16000,0.07422187179327011
16500,0.0697246789932251
17000,0.07360589504241943
17500,0.06656117737293243
18000,0.07236410677433014
18500,0.0734574943780899
19000,0.0674925446510315
19500,0.07027794420719147
20000,0.07374267280101776
20500,0.07114928960800171
21000,0.06962720304727554
21500,0.07284791767597198
22000,0.0717090517282486
22500,0.07044295221567154
23000,0.06859882175922394
23500,0.06920017302036285
24000,0.0718236118555069
24500,0.06828302890062332
25000,0.06870488822460175
