step,loss
1,0.3178158402442932
500,0.19619905948638916
1000,0.19322478771209717
1500,0.20806987583637238
2000,0.19166293740272522
2500,0.185946986079216
3000,0.19856539368629456
3500,0.19112640619277954
4000,0.19255897402763367
4500,0.18368616700172424
5000,0.20606066286563873
5500,0.18624238669872284
6000,0.2048841267824173
6500,0.19791506230831146
7000,0.19727689027786255
7500,0.19471442699432373
8000,0.19578462839126587
8500,0.19971032440662384
9000,0.1992616057395935
9500,0.19754326343536377
10000,0.19918492436408997
10500,0.19511327147483826
11000,0.1894053816795349
11500,0.18902063369750977
12000,0.18720494210720062
12500,0.1939971148967743
13000,0.1866815686225891
13500,0.20326900482177734
14000,0.18527962267398834
14500,0.19297802448272705
15000,0.19604063034057617
15500,0.1866776943206787
16000,0.19876515865325928
16500,0.18697357177734375
17000,0.19134414196014404
17500,0.212065652012825
18000,0.19363947212696075
18500,0.19799649715423584
19000,0.1862129122018814
19500,0.19899405539035797
20000,0.19258864223957062
20500,0.19346624612808228
21000,0.19009731709957123
21500,0.20239131152629852
22000,0.1936657875776291
22500,0.18955287337303162
23000,0.18949835002422333
23500,0.19024847447872162
24000,0.2022230327129364
24500,0.19946692883968353
25000,0.19545641541481018
