step,loss
1,1.026348352432251
500,0.14801692962646484
1000,0.12324867397546768
1500,0.11184114217758179
2000,0.10360561311244965
2500,0.10189599543809891
3000,0.09317359328269958
3500,0.08676377683877945
4000,0.08797568082809448
4500,0.08726506680250168
5000,0.08978040516376495
5500,0.0933539867401123
6000,0.08755455911159515
6500,0.08553212136030197
7000,0.08288442343473434
7500,0.08591532707214355
8000,0.09140153974294662
8500,0.08708836138248444
9000,0.08261672407388687
9500,0.08384614437818527
10000,0.07989068329334259
10500,0.08231279999017715
11000,0.08094574511051178
11500,0.08248526602983475
12000,0.07840996980667114
12500,0.08035263419151306
13000,0.08323349058628082
13500,0.08169074356555939
14000,0.08075911551713943
14500,0.08105024695396423
15000,0.08027130365371704
15500,0.07946665585041046
16000,0.08054584264755249
16500,0.0748228207230568
17000,0.07576975226402283
17500,0.0804278627038002
18000,0.07909156382083893
18500,0.07417427003383636
19000,0.07783869653940201
19500,0.07883819937705994
20000,0.07403772324323654
20500,0.07764236629009247
21000,0.08193376660346985
21500,0.07998280972242355
22000,0.07925411313772202
22500,0.07583307474851608
23000,0.07205826044082642
23500,0.07206175476312637
24000,0.07420225441455841
24500,0.07756434381008148
25000,0.07482989877462387
