step,loss
1,1.0149455070495605
500,0.12132282555103302
1000,0.10371154546737671
1500,0.09807328879833221
2000,0.09325661510229111
2500,0.08867147564888
3000,0.08519775420427322
3500,0.07864312827587128
4000,0.0759361982345581
4500,0.0758553072810173
5000,0.0827615037560463
5500,0.07979284226894379
6000,0.0849631130695343
6500,0.08105584979057312
7000,0.07388348877429962
7500,0.07370959222316742
8000,0.0753169134259224
8500,0.07145832479000092
9000,0.07158996164798737
9500,0.07194696366786957
10000,0.07070240378379822
10500,0.06942664831876755
11000,0.070480577647686
11500,0.07419010996818542
12000,0.06894487887620926
12500,0.07499587535858154
13000,0.07338842004537582
13500,0.06841612607240677
14000,0.07316409796476364
14500,0.06757345795631409
15000,0.06758377701044083
15500,0.06836077570915222
16000,0.07089200615882874
16500,0.06909296661615372
17000,0.06669328361749649
17500,0.07534527033567429
18000,0.0682046040892601
18500,0.07479709386825562
19000,0.06905842572450638
19500,0.06420688331127167
20000,0.06712520867586136
20500,0.0694665014743805
21000,0.07415025681257248
21500,0.065607950091362
22000,0.06840206682682037
22500,0.06751944124698639
23000,0.06326740980148315
23500,0.07090042531490326
24000,0.06621397286653519
24500,0.06685101240873337
25000,0.06847316771745682
