step,loss
1,6.019561767578125
500,4.371248245239258
1000,0.15469129383563995
1500,2.956974983215332
2000,0.4680519700050354
2500,0.3564881682395935
3000,0.8837572336196899
3500,0.21911147236824036
4000,0.08991951495409012
4500,0.13478504121303558
5000,0.3151896595954895
5500,0.8886481523513794
6000,0.1500110626220703
6500,0.7797458171844482
7000,0.2363479733467102
7500,0.0619518980383873
8000,0.2824195921421051
8500,0.07319442927837372
9000,0.24915927648544312
9500,0.42312222719192505
10000,0.12940655648708344
10500,0.14137735962867737
11000,0.8718577027320862
11500,0.10712926834821701
12000,0.131771981716156
12500,0.652500569820404
13000,0.07518579810857773
13500,0.08865953981876373
14000,0.09672696143388748
14500,0.09597230702638626
15000,0.08434887230396271
15500,0.06692604720592499
16000,0.07778797298669815
16500,0.1625995635986328
17000,0.06674900650978088
17500,0.5223093032836914
18000,0.15333236753940582
18500,0.10272277891635895
19000,0.08224759995937347
19500,0.07450239360332489
20000,0.19496163725852966
20500,0.4123622477054596
21000,4.073639869689941
21500,0.1564841866493225
22000,0.07189621776342392
22500,0.0918671190738678
23000,0.07219850271940231
23500,0.1308096945285797
24000,0.0659753680229187
24500,0.06149078160524368
25000,0.34039306640625
